journal_entry_id,sales_order_id,partner_id,country,product,posting_status,posting_date,amount_in_company_currency_eur
FR_DOC_001,FR_SO_001,FR_001,FR,sap:ProductAutomotive,POSTED,2026-07-29,9000.00
FR_DOC_002,FR_SO_001,FR_001,FR,sap:ProductAutomotive,CLEARED,2026-04-30,8000.00
FR_DOC_003,FR_SO_001,FR_001,FR,sap:ProductAutomotive,POSTED,2026-02-09,7000.00
FR_DOC_004,FR_SO_001,FR_001,FR,sap:ProductAutomotive,REVERSED,2026-07-14,50000.00
FR_DOC_005,FR_SO_001,FR_001,FR,sap:ProductAutomotive,DUPLICATE,2026-07-13,50000.00
FR_DOC_006,FR_SO_001,FR_001,FR,sap:ProductAutomotive,CLEARED,2025-07-24,12000.00
FR_DOC_007,FR_SO_003,FR_002,FR,sap:ProductAutomotive,POSTED,2026-06-29,12000.00
FR_DOC_008,FR_SO_003,FR_002,FR,sap:ProductAutomotive,POSTED,2026-03-21,11000.00
FR_DOC_009,FR_SO_003,FR_002,FR,sap:ProductAutomotive,CLEARED,2025-12-31,2000.00
UK_DOC_001,UK_SO_001,UK_001,GB,sap:ProductAutomotive,POSTED,2026-06-14,4200.00
DE_DOC_001,DE_SO_001,DE_001,DE,sap:ProductAutomotive,CLEARED,2026-03-01,7600.00
DE_DOC_002,DE_SO_001,DE_001,DE,sap:ProductAutomotive,REVERSED,2026-02-19,1800.00
